,Junior (no experience),Junior+ (1-3 years),Middle (3-6 years),Senior (6+ years)
Работодатель,Психограм,СБЕР,СБЕР,Fundraise Up
Тип занятости,Проектная работа,Полная занятость,Полная занятость,Полная занятость
График работы,Удаленная работа,Полный день,Полный день,Полный день
Заработная плата,Меньше 100 тысяч,От 100 тысяч до 200 тысяч,Больше 300 тысяч,Больше 300 тысяч
