id,skills
90499078,sql
90499078,
90499078,python
90561367,ms outlook
90561367,python
90561367,ms sql
90561367,arenadata
90561367,greenplum
90561367,jupyter hab
90561367,excel
90561367,кхд
90561367,корпоративное хранилище данных
90561367,sql
90561367,etl framework
90561367,airflow
90561367,postgresql
90568368,
90568368,etl
90568368,numpy
90568368,python
90568368,pandas
90568368,airflow
90568368,субд
90568368,docker
90568368,postgresql
90568368,git
90568368,sql
90568368,oracle
90612838,sql
90612838,excel
90621875,
90621875,bi
90621875,power bi
90621875,numpy
90621875,pandas
90621875,ms sql
90621875,подготовка презентаций
90621875,excel
90621875,tableau
90621875,excel
90621875,python
90621875,hadoop
90621875,sql
90621875,работа с базами данных
90621875,английский язык
90621875,базы данных
90621875,qlikview
90621875,сбор и анализ информации
90621875,spark
90621875,аналитическое мышление
90621875,аналитика
90621875,работа с большим объемом информации
90621875,airflow
90640678,
90640678,статистика
90640678,ms sql
90640678,clickhouse
90640678,postgresql
90640678,sql
90640678,работа с базами данных
90808766,sql
90808766,статистика
90808766,python
90830592,pytorch
90830592,linux
90830592,numpy
90830592,python
90830592,llm
90830592,docker
90830592,git
90830592,tensorflow
90880680,pytorch
90880680,tensorflow
90880680,numpy
90880680,pandas
90880680,llm
90880680,computervision
90880680,big data
90880680,прогнозирование
90880680,
90880680,ии
90880680,docker
90880680,git
90880680,airflow
90880680,nlp
91047040,python
91047040,llm
91047040,hadoop
91047040,docker
91047040,sql
91047040,git
91047040,airflow
91047040,nlp
91054654,
91054654,bi
91054654,power bi
91054654,python
91054654,ms sql
91054654,sql
91079873,teradata studio
91079873,ms sql
91079873,excel
91079873,работа с большим объемом информации
91079873,sql
91079873,informatica
91096240,
91096240,bi
91096240,аналитические исследования
91096240,автоматизация процессов
91096240,ms sql
91096240,анализ бизнес показателей
91096240,qlik sense
91096240,подготовка презентаций
91096240,проведение презентаций
91096240,excel
91096240,linux
91096240,hadoop
91096240,sql
91096240,работа с базами данных
91096240,базы данных
91096240,qlikview
91096240,qlik
91096240,сбор и анализ информации
91096240,визуализация данных
91096240,аналитическое мышление
91096240,аналитика
91096240,анализ текущих финансовых показателей
91096240,mysql
91096240,работа с большим объемом информации
91096240,ms sql server
91141210,аналитические исследования
91141210,аналитика
91141210,английский язык
91141210,python
91141210,ms sql
91141210,clickhouse
91141210,прогнозирование
91141210,excel
91141210,работа с большим объемом информации
91141210,sql
91141210,управление товарными запасами
91141210,анализ ассортиментной линейки
91145854,sql
91145854,docker
91145854,airflow
91145854,python
91264131,sql
91273843,статистика
91273843,python
91273843,big data
91273843,
91273843,oracle pl/sql
91273843,машинное обучение
91273843,docker
91273843,sql
91273843,git
91273843,airflow
91273843,oracle
91273843,spark
91277705,spark
91277705,
91277705,python
91277705,pandas
91277705,spark
91277705,big data
91277705,прогнозирование
91277705,
91277705,hadoop
91277705,
91277705,машинное обучение
91277705,data analysis
91277705,docker
91277705,sql
91277705,airflow
91277705,hive
91277705,
91280206,
91280206,аналитические исследования
91280206,numpy
91280206,python
91280206,pandas
91280206,базы данных
91280206,математическая статистика
91280206,математический анализ
91280206,big data
91280206,прогнозирование
91280206,сбор и анализ информации
91280206,data analysis
91280206,sql
91367300,g
91367300,кредитные риски
91367300,портфельные риски
91367300,статистика
91367300,управление рисками
91367300,статистический анализ
91367300,python
91367300,pandas
91367300,p
91367300,ad
91367300,sql
91367300,оценка рисков
91367300,математическое моделирование
91375242,power bi
91375242,python
91375242,антифрод
91375242,clickhouse
