,Junior (no experience),Junior+ (1-3 years),Middle (3-6 years),Senior (6+ years)
Работодатель,СБЕР,СБЕР,СБЕР,Леруа Мерлен
Тип занятости,Полная занятость,Полная занятость,Полная занятость,Полная занятость
График работы,Полный день,Полный день,Полный день,Полный день
Заработная плата,Меньше 100 тысяч,Меньше 100 тысяч,От 100 тысяч до 200 тысяч,Нет данных
